aircraft delay1 delay2 delay3 delay4 delay5
1031 0 0 0 0 0 
1032 15 15 5 5 5 
1034 0 0 0 0 0 
1035 0 0 0 0 0 
1036 129 144 424 220 504 
1037 666 741 1321 2606 1686 
1038 671 746 656 101 231 
1039 715 775 1370 2590 1665 
1040 219 232 102 2 42 
1041 133 153 3 9 8 
1042 207 215 100 0 10 
1043 212 215 405 10 20 
1044 1116 876 1456 3056 3016 
1045 1026 866 1676 346 681 
1047 736 826 1506 2611 1686 
1048 12 17 2 2 2 
1049 17 12 2 2 2 
1051 674 749 609 1654 3239 
1052 1124 809 1549 2615 1689 
1053 9 9 9 9 9 
1055 1051 789 1629 1694 3219 
1056 215 238 418 8 33 
1058 742 817 1547 2617 1692 
1059 724 794 1454 2604 1679 
1060 163 233 48 4 8 
1061 1160 830 1590 2621 1695 
1062 1017 747 1362 2613 1677 
1063 1111 801 1506 2612 1686 
1064 212 225 410 3055 3015 
1065 4 0 0 4 4 
1066 945 795 1360 220 590 
1067 749 809 734 1679 3209 
1069 953 803 1133 223 613 
1070 211 224 419 3054 3014 
1071 0 0 0 0 0 
1073 685 745 0 20 230 
1074 689 749 1339 2604 1674 
1075 25 25 0 0 0 
1076 1 1 1 11 6 
1077 1036 896 581 326 766 
1078 987 822 1472 252 667 
1079 208 231 421 16 26 
1080 1093 836 1726 1691 3211 
1081 772 842 537 27 212 
1082 10 10 0 0 0 
1083 781 876 1606 2616 1681 
1084 9 14 14 14 14 
1085 692 757 627 1652 3222 
1086 10 10 10 0 5 
1087 1218 853 1658 2654 1718 
1088 453 263 103 24 68 
1089 2 2 2 2 2 
1091 1110 885 1410 3045 3005 
1092 985 855 475 315 670 
1093 0 0 0 0 0 
1094 0 0 0 0 0 
1095 994 859 479 344 699 
1096 704 764 689 1659 3224 
1097 0 0 0 0 0 
1098 155 215 50 1 0 
1099 1035 778 1568 1703 3228 
1100 795 870 570 25 215 
1101 793 898 18 18 208 
1102 0 0 0 0 0 
1104 6 16 16 16 16 
1105 812 872 792 2987 3192 
1106 382 250 430 5 0 
1107 170 240 5 6 5 
1109 205 223 98 3 13 
1111 0 0 0 0 0 
1112 1085 795 1450 2596 1665 
1113 1159 882 1772 2987 3192 
1114 3 3 3 3 3 
1115 823 888 1648 2628 1693 
1116 192 262 12 8 12 
1117 1042 917 1757 532 752 
1118 201 266 26 12 16 
1119 456 251 96 27 36 
1121 2 2 2 2 2 
1122 801 901 1641 2606 1671 
1123 3 3 8 8 3 
1124 166 236 1 7 6 
1125 11 16 1 1 1 
1126 0 0 0 0 0 
1127 13 13 3 3 8 
1128 221 276 11 27 11 
1129 210 233 108 23 38 
1130 15 15 20 20 20 
1131 1036 901 551 441 761 
1132 158 228 3 49 13 
1133 1069 832 1702 1682 3207 
1134 0 0 0 0 0 
1135 218 273 33 9 8 
1136 222 277 27 28 12 
1137 221 254 119 19 34 
1138 1047 902 1157 447 722 
1139 761 846 1576 2616 1691 
1140 1 1 1 1 1 
1142 161 231 576 542 641 
1143 807 897 577 32 202 
1144 15 15 0 0 0 
1145 772 862 2 2 192 
1146 1180 908 1828 2968 3168 
1147 818 933 573 23 183 
1148 13 13 3 3 13 
1149 0 0 0 0 0 
1150 23 23 38 38 38 
1151 0 0 0 0 0 
1152 203 226 426 1 11 
1154 832 907 1667 2607 1672 
1155 226 271 26 22 11 
1156 771 866 1 1 191 
1157 835 910 1715 2615 1675 
1158 462 267 97 13 47 
